"StudyID"	"Reference"	"Journal"	"PublicationYear"	"DOI"
"StudyID_01"	"Hanson 1990"	"FRESHWATER BIOLOGY"	1990	"10.1111/j.1365-2427.1990.tb00726.x"
"StudyID_02"	"Ahrens and Peters 1991"	"CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES"	1991	"10.1139/f91-234"
"StudyID_03"	"Rodríguez et al. 1993"	"CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES"	1993	"10.1139/f93-093"
"StudyID_04"	"Cattaneo 1993"	"CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES"	1993	"10.1139/f93-289"
"StudyID_05"	"Napp et al. 1993"	"DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS"	1993	"10.1016/0967-0637(93)90141-O"
"StudyID_06"	"Rasmussen 1993"	"CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES"	1993	"10.1139/f93-246"
"StudyID_07"	"Gaedke 1993"	"LIMNOLOGY AND OCEANOGRAPHY"	1993	"10.4319/lo.1993.38.1.0112"
"StudyID_08"	"Rodhouse et al. 1994"	"MARINE ECOLOGY PROGRESS SERIES"	1994	"10.3354/meps112029"
"StudyID_09"	"García et al. 1995"	"JOURNAL OF PLANKTON RESEARCH"	1995	"10.1093/plankt/17.9.1803"
"StudyID_10"	"Macpherson and Gordoa 1996"	"MARINE ECOLOGY PROGRESS SERIES"	1996	"10.3354/meps138027"
"StudyID_100"	"Seitz et al. 2020"	"ECOSPHERE"	2020	"10.1002/ecs2.3291"
"StudyID_101"	"Edwards et al. 2020"	"MARINE ECOLOGY PROGRESS SERIES"	2020	"10.3354/meps13230"
"StudyID_102"	"Mazurkiewicz et al. 2020"	"SCIENTIFIC REPORTS"	2020	"10.1038/s41598-020-60889-4"
"StudyID_103"	"Jagadeesan et al. 2020"	"CONTINENTAL SHELF RESEARCH"	2020	"10.1016/j.csr.2020.104197"
"StudyID_104"	"Estévez et al. 2020"	"AQUATIC SCIENCES"	2020	"10.1007/s00027-020-0713-5"
"StudyID_105"	"Batziakas et al. 2020"	"JOURNAL OF PLANKTON RESEARCH"	2020	"10.1093/plankt/fbaa055"
"StudyID_106"	"Górska et al. 2020"	"PROGRESS IN OCEANOGRAPHY"	2020	"10.1016/j.pocean.2020.102370"
"StudyID_107"	"Chen et al. 2020"	"JOURNAL OF PLANKTON RESEARCH"	2020	"10.1093/plankt/fbaa022"
"StudyID_108"	"Junker et al. 2020"	"ECOLOGY LETTERS"	2020	"10.1111/ele.13608"
"StudyID_109"	"Atkinson et al. 2021"	"LIMNOLOGY AND OCEANOGRAPHY"	2021	"10.1002/lno.11613"
"StudyID_11"	"Drgas et al. 1998"	"MARINE ECOLOGY"	1998	"10.1111/j.1439-0485.1998.tb00463.x"
"StudyID_110"	"Arranz et al. 2021"	"SCIENCE OF THE TOTAL ENVIRONMENT"	2021	"10.1016/j.scitotenv.2021.148792"
"StudyID_111"	"Peng et al. 2021"	"ECOLOGICAL ENGINEERING"	2021	"10.1016/j.ecoleng.2020.106091"
"StudyID_112"	"Braun et al. 2021"	"AQUATIC ECOLOGY"	2021	"10.1007/s10452-021-09843-8"
"StudyID_113"	"Osuka et al. 2021"	"MARINE POLLUTION BULLETIN"	2021	"10.1016/j.marpolbul.2021.113010"
"StudyID_114"	"Daupagne et al. 2021"	"FISHERIES MANAGEMENT AND ECOLOGY"	2021	"10.1111/fme.12476"
"StudyID_115"	"Kwong and Pakhomov 2021"	"JOURNAL OF PLANKTON RESEARCH"	2021	"10.1093/plankt/fbab039"
"StudyID_116"	"Tian et al. 2021"	"JOURNAL OF OCEAN UNIVERSITY OF CHINA"	2021	"10.1007/s11802-021-4502-0"
"StudyID_117"	"Fidler et al. 2021"	"CORAL REEFS"	2021	"10.1007/s00338-021-02085-y"
"StudyID_118"	"Li et al. 2022"	"FRONTIERS IN ECOLOGY AND EVOLUTION"	2022	"10.3389/fevo.2022.800025"
"StudyID_119"	"Evans et al. 2022"	"CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES"	2022	"10.1139/cjfas-2020-0144"
"StudyID_12"	"Kobayashi et al. 1998"	"MARINE AND FRESHWATER RESEARCH"	1998	"10.1071/MF97254"
"StudyID_120"	"Pomeranz et al. 2022"	"GLOBAL CHANGE BIOLOGY"	2022	"10.1111/gcb.15862"
