"StudyID" "SiteID" "SampleID" "NumSampled" "SamplingYear" "SamplingMonth" "NumberSizeSpectrumMethods" "SizeSpectrumMethod" "YaxisParameterType" "YaxisParameterTypeSpecification" "XaxisParameterType" "XaxisParameterTypeSpecification" "YaxisParameterUnit" "XaxisParameterUnit" "XaxisParameterUnitSpecification" "NumberSizeClasses" "SizeRangeMinimum" "SizeRangeMaximum" "Slope" "SlopeConfIntLow" "SlopeConfIntUp" "SlopeSD" "SlopeSE" "Intercept" "InterceptConfIntLow" "InterceptConfIntUp" "InterceptSD" "InterceptSE" "Linearity"
"StudyID_01" "SiteID_01" "SampleID_1" 2 "1986" "May-Jun-Jul-Aug-Sep" 1 "Normalized biomass spectrum (linear)" "biomass" "biomass" "body mass" "body mass" "mg" "mg" "mg" "14" "0.01" "2048" -0.89 NA NA NA 0.101 9.84 NA NA NA NA 0.87
"StudyID_01" "SiteID_01" "SampleID_2" 2 "1986" "May-Jun-Jul-Aug-Sep" 1 "Normalized biomass spectrum (linear)" "biomass" "biomass" "body mass" "body mass" "mg" "mg" "mg" "14" "0.01" "2048" -1.11 NA NA NA 0.117 8.87 NA NA NA NA 0.89
"StudyID_02" "SiteID_02" "SampleID_3" 1 "1987" "Aug" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.752 NA NA NA 0.033 7.981 NA NA NA 0.43 0.94
"StudyID_02" "SiteID_03" "SampleID_4" 2 "1987" "Aug" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.951 NA NA NA 0.048 6.679 NA NA NA 0.734 0.92
"StudyID_02" "SiteID_03" "SampleID_5" 2 "1987" "Jul" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.829 NA NA NA 0.036 6.499 NA NA NA 0.532 0.94
"StudyID_02" "SiteID_04" "SampleID_6" 5 "1987" "Aug" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.87 NA NA NA 0.031 6.327 NA NA NA 0.458 0.96
"StudyID_02" "SiteID_04" "SampleID_7" 5 "1987" "Jul" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.867 NA NA NA 0.029 6.079 NA NA NA 0.425 0.97
"StudyID_02" "SiteID_04" "SampleID_8" 5 "1987" "Jul" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.862 NA NA NA 0.029 5.96 NA NA NA 0.429 0.97
"StudyID_02" "SiteID_04" "SampleID_9" 5 "1987" "Jul" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.894 NA NA NA 0.057 5.636 NA NA NA 0.703 0.89
"StudyID_02" "SiteID_04" "SampleID_10" 5 "1987" "Jun" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.764 NA NA NA 0.047 5.957 NA NA NA 0.533 0.9
"StudyID_02" "SiteID_05" "SampleID_11" 2 "1987" "Aug" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.904 NA NA NA 0.043 6.272 NA NA NA 0.521 0.94
"StudyID_02" "SiteID_05" "SampleID_12" 2 "1987" "Jul" 1 "Normalized abundance spectrum (linear)" "density" "density" "physical size" "body length" "count/L" "μm" "μm" NA "0.0055" NA -0.76 NA NA NA 0.047 5.952 NA NA NA 0.532 0.9
