StudyID	SiteID	GeographicalLatitude	GeographicalLongitude	AverageCoordinates	Hemisphere	Realm	GeographicalTerritory	GeographicalTerritory2	Habitat	HabitatSpecification	Ecosystem	StudyContext	BiologicalOrganisation	SpeciesType	SamplingMethodology									
StudyID_01	SiteID_01	54.617	-113.618	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	NA	Natural	habitat	heterogeneity	Community	Macroinvertebrate	Ekman	dredge					
StudyID_02	SiteID_02	45.2	-72.3	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Foodweb	Bacteria+PrimProd+Zooplankton	Piston	pump					
StudyID_02	SiteID_03	45	-72.15	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Foodweb	Bacteria+PrimProd+Zooplankton	Piston	pump					
StudyID_02	SiteID_04	45.1	-72.15	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Foodweb	Bacteria+PrimProd+Zooplankton	Piston	pump					
StudyID_02	SiteID_05	45.18	-72.15	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Foodweb	Bacteria+PrimProd+Zooplankton	Piston	pump					
StudyID_02	SiteID_06	45.2	-72.05	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Foodweb	Bacteria+PrimProd+Zooplankton	Piston	pump					
StudyID_02	SiteID_07	45.1	-72.14	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Foodweb	Bacteria+PrimProd+Zooplankton	Piston	pump					
StudyID_02	SiteID_08	45.15	-72.15	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Foodweb	Bacteria+PrimProd+Zooplankton	Piston	pump					
StudyID_02	SiteID_09	45.04	-71.54	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Foodweb	Bacteria+PrimProd+Zooplankton	Piston	pump					
StudyID_02	SiteID_10	45.15	-71.55	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Foodweb	Bacteria+PrimProd+Zooplankton	Piston	pump					
StudyID_02	SiteID_11	45.15	-72.2	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Foodweb	Bacteria+PrimProd+Zooplankton	Piston	pump					
StudyID_02	SiteID_12	45.2	-72.15	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Foodweb	Bacteria+PrimProd+Zooplankton	Piston	pump					
StudyID_02	SiteID_13	44.55	-72.15	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Foodweb	Bacteria+PrimProd+Zooplankton	Piston	pump					
StudyID_02	SiteID_14	45.1	-72.1	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Foodweb	Bacteria+PrimProd+Zooplankton	Piston	pump					
StudyID_02	SiteID_15	45.13	-72.2	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Foodweb	Bacteria+PrimProd+Zooplankton	Piston	pump					
StudyID_03	SiteID_16	47.083	-73.25	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Community	Macroinvertebrate	Ekman	dredge					
StudyID_03	SiteID_17	46.63	-73.15	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Natural	habitat	heterogeneity	Community	Macroinvertebrate	Ekman	dredge					
StudyID_04	SiteID_18	45.924	-73.95	No	North	Nearctic	North	America	Canada	Freshwater	Lotic	Stream	(second-order)	Methodology	Foodweb	PrimProd+Protozoan+Macroinvertebrate	Dip	net						
StudyID_04	SiteID_19	45.987	-73.996	No	North	Nearctic	North	America	Canada	Freshwater	Lotic	Stream	(second-order)	Methodology	Foodweb	PrimProd+Protozoan+Macroinvertebrate	Dip	net						
